Time (EET),Open,High,Low,Close,Volume 
2025.04.30 16:00:00,0.85183,0.85217,0.85158,0.85182,2382.36
2025.04.30 16:15:00,0.85183,0.85276,0.85164,0.85232,2300.25
2025.04.30 16:30:00,0.85231,0.85319,0.85206,0.85309,2647.68
2025.04.30 16:45:00,0.8531,0.85382,0.85289,0.8533,2434.05
2025.04.30 17:00:00,0.85332,0.85363,0.85252,0.85266,3680.43
2025.04.30 17:15:00,0.85269,0.85272,0.85203,0.85205,1912.08
2025.04.30 17:30:00,0.85206,0.85223,0.85182,0.85187,2108.04
2025.04.30 17:45:00,0.85186,0.85245,0.85067,0.85114,5698.59
2025.04.30 18:00:00,0.85117,0.8518,0.85077,0.85077,3838.89
2025.04.30 18:15:00,0.85078,0.85114,0.84975,0.84992,4566.8
2025.04.30 18:30:00,0.84992,0.85046,0.84951,0.85038,3990.82
2025.04.30 18:45:00,0.85038,0.85071,0.84993,0.85059,2979
2025.04.30 19:00:00,0.85059,0.8512,0.85059,0.85078,1880.43
2025.04.30 19:15:00,0.85076,0.8512,0.85042,0.8511,1296.24
2025.04.30 19:30:00,0.85112,0.85114,0.85059,0.85063,1260.12
2025.04.30 19:45:00,0.85066,0.85096,0.85061,0.85083,986.61
2025.04.30 20:00:00,0.85084,0.85148,0.85076,0.85128,1183.14
2025.04.30 20:15:00,0.85127,0.85129,0.85079,0.85091,892.41
2025.04.30 20:30:00,0.85093,0.85102,0.85054,0.85068,906.27
2025.04.30 20:45:00,0.85068,0.85072,0.8503,0.8505,1175.67
2025.04.30 21:00:00,0.8505,0.85076,0.85029,0.85068,2250.65
2025.04.30 21:15:00,0.85068,0.8508,0.85037,0.8505,1247.31
2025.04.30 21:30:00,0.85051,0.85079,0.85042,0.85072,938.31
2025.04.30 21:45:00,0.85071,0.85101,0.85064,0.85083,712.35
2025.04.30 22:00:00,0.85084,0.85084,0.85046,0.85046,899.13
2025.04.30 22:15:00,0.85048,0.85049,0.85006,0.85015,647.31
2025.04.30 22:30:00,0.85013,0.85019,0.84998,0.85,660.03
2025.04.30 22:45:00,0.85002,0.85022,0.84969,0.85007,1227.9
2025.04.30 23:00:00,0.85007,0.85012,0.84961,0.84964,1495.9
2025.04.30 23:15:00,0.84965,0.85,0.84962,0.84981,748.77
2025.04.30 23:30:00,0.8498,0.84985,0.84949,0.84974,511.95
2025.04.30 23:45:00,0.84975,0.84991,0.84968,0.84972,889.2
2025.05.01 00:00:00,0.84983,0.84989,0.84957,0.84973,55.65
2025.05.01 00:15:00,0.84971,0.84989,0.84969,0.84972,77.4
2025.05.01 00:30:00,0.8497,0.84997,0.84969,0.84978,97.44
2025.05.01 00:45:00,0.84976,0.84988,0.84962,0.84968,345.78
2025.05.01 01:00:00,0.8497,0.85023,0.8497,0.84991,787.83
2025.05.01 01:15:00,0.84991,0.85,0.84977,0.84991,570.45
2025.05.01 01:30:00,0.84991,0.85019,0.84986,0.85005,577.67
2025.05.01 01:45:00,0.85004,0.85013,0.84994,0.84996,436.36
2025.05.01 02:00:00,0.84996,0.85006,0.84979,0.84983,278.19
2025.05.01 02:15:00,0.84982,0.85003,0.84979,0.85001,334.65
2025.05.01 02:30:00,0.85,0.85015,0.84992,0.85004,393.87
2025.05.01 02:45:00,0.85003,0.85014,0.84991,0.84999,320.61
2025.05.01 03:00:00,0.84997,0.85032,0.84997,0.85024,642.66
2025.05.01 03:15:00,0.85025,0.85027,0.85008,0.85019,709.02
2025.05.01 03:30:00,0.85018,0.85024,0.84998,0.8501,873.33
2025.05.01 03:45:00,0.8501,0.85023,0.85002,0.85006,670.99
2025.05.01 04:00:00,0.85006,0.85013,0.84969,0.84983,810.3
2025.05.01 04:15:00,0.84984,0.84992,0.84955,0.84975,891.66
2025.05.01 04:30:00,0.84976,0.84994,0.84964,0.84982,906.15
2025.05.01 04:45:00,0.84983,0.84986,0.84958,0.84975,672.07
2025.05.01 05:00:00,0.84973,0.84978,0.84949,0.84968,727.32
2025.05.01 05:15:00,0.84967,0.84983,0.84962,0.84968,423.3
2025.05.01 05:30:00,0.84967,0.84978,0.84958,0.84962,484.68
2025.05.01 05:45:00,0.84962,0.84991,0.84962,0.84991,509.91
2025.05.01 06:00:00,0.84989,0.85001,0.84975,0.84984,1440.36
2025.05.01 06:15:00,0.84983,0.84997,0.84976,0.84991,707.25
2025.05.01 06:30:00,0.8499,0.85019,0.84985,0.85009,674.7
2025.05.01 06:45:00,0.85007,0.8505,0.85004,0.85045,867.9
2025.05.01 07:00:00,0.85045,0.85065,0.85033,0.85058,1007.37
2025.05.01 07:15:00,0.85057,0.85064,0.85028,0.85045,713.19
2025.05.01 07:30:00,0.85044,0.8506,0.85031,0.85045,716.85
2025.05.01 07:45:00,0.85045,0.85052,0.85024,0.85024,444.39
2025.05.01 08:00:00,0.85023,0.85043,0.84998,0.8502,755.83
2025.05.01 08:15:00,0.85019,0.8503,0.84999,0.85004,979.23
2025.05.01 08:30:00,0.85003,0.85031,0.84994,0.85023,883.8
2025.05.01 08:45:00,0.85023,0.85043,0.85022,0.85033,1028.01
2025.05.01 09:00:00,0.85034,0.85055,0.85032,0.85041,949.47
2025.05.01 09:15:00,0.85041,0.85041,0.85007,0.85031,968.55
2025.05.01 09:30:00,0.85031,0.8506,0.85006,0.85044,1219.11
2025.05.01 09:45:00,0.85045,0.85103,0.85041,0.85052,1314.84
2025.05.01 10:00:00,0.85052,0.85071,0.85027,0.8503,1840.89
2025.05.01 10:15:00,0.8503,0.85035,0.84972,0.84983,1379.28
2025.05.01 10:30:00,0.84985,0.8503,0.84964,0.84969,1760.34
2025.05.01 10:45:00,0.84968,0.85017,0.84962,0.85003,1136.43
2025.05.01 11:00:00,0.85002,0.85054,0.84989,0.85018,1667.7
2025.05.01 11:15:00,0.85015,0.85027,0.8498,0.84988,1413.66
2025.05.01 11:30:00,0.84988,0.85004,0.84961,0.84969,915.66
2025.05.01 11:45:00,0.84969,0.84988,0.84953,0.84956,996.51
2025.05.01 12:00:00,0.84954,0.84958,0.84921,0.84922,1154.58
2025.05.01 12:15:00,0.84921,0.84985,0.84921,0.84973,826.05
2025.05.01 12:30:00,0.84975,0.84994,0.84956,0.84988,1053.21
2025.05.01 12:45:00,0.84987,0.84994,0.84969,0.84973,916.47
2025.05.01 13:00:00,0.84974,0.85001,0.84969,0.84974,1019.46
2025.05.01 13:15:00,0.84974,0.84982,0.8491,0.84922,752.64
2025.05.01 13:30:00,0.84922,0.8496,0.84919,0.84957,911.64
2025.05.01 13:45:00,0.84956,0.85,0.84951,0.84959,928.23
2025.05.01 14:00:00,0.84958,0.84975,0.84946,0.84959,1085.85
2025.05.01 14:15:00,0.84959,0.85004,0.84951,0.84982,1150.56
2025.05.01 14:30:00,0.84982,0.84986,0.84958,0.84961,650.55
2025.05.01 14:45:00,0.84959,0.84968,0.84913,0.8496,1482.36
2025.05.01 15:00:00,0.84961,0.84969,0.84929,0.84945,1268.46
2025.05.01 15:15:00,0.84945,0.84945,0.84903,0.8492,1244.37
2025.05.01 15:30:00,0.84918,0.85,0.84918,0.84977,3061.41
2025.05.01 15:45:00,0.84974,0.85013,0.84968,0.84978,1797.99
2025.05.01 16:00:00,0.84977,0.85009,0.84962,0.85001,1655.4
2025.05.01 16:15:00,0.85001,0.85021,0.84982,0.85006,1448.25
2025.05.01 16:30:00,0.85007,0.85026,0.84964,0.84964,1997.94
2025.05.01 16:45:00,0.84964,0.84978,0.84918,0.84954,1889.31
2025.05.01 17:00:00,0.8495,0.8495,0.84814,0.84824,3778.89
2025.05.01 17:15:00,0.84823,0.84845,0.84795,0.84842,2108.49
2025.05.01 17:30:00,0.84842,0.84928,0.84841,0.84919,2162.4
2025.05.01 17:45:00,0.8492,0.8492,0.84806,0.84856,3038.52
2025.05.01 18:00:00,0.84855,0.84902,0.84839,0.84869,2095.59
2025.05.01 18:15:00,0.8487,0.84898,0.8483,0.84894,1833.09
2025.05.01 18:30:00,0.84893,0.84905,0.84868,0.84883,1358.67
2025.05.01 18:45:00,0.84886,0.84983,0.84883,0.84981,1580.37
2025.05.01 19:00:00,0.84977,0.85037,0.84977,0.85028,1520.73
2025.05.01 19:15:00,0.85028,0.85049,0.84975,0.84991,1425.75
2025.05.01 19:30:00,0.84992,0.85014,0.84982,0.85,798.21
2025.05.01 19:45:00,0.85,0.85035,0.84999,0.85017,963.57
2025.05.01 20:00:00,0.85017,0.85036,0.85011,0.85028,613.35
2025.05.01 20:15:00,0.85029,0.85032,0.85005,0.85017,717.96
2025.05.01 20:30:00,0.85016,0.85042,0.85012,0.8504,746.7
2025.05.01 20:45:00,0.85041,0.85063,0.85026,0.85051,724.44
2025.05.01 21:00:00,0.85049,0.85057,0.85024,0.85038,689.58
2025.05.01 21:15:00,0.85037,0.85043,0.85008,0.85011,879.03
2025.05.01 21:30:00,0.8501,0.85023,0.84997,0.85,687.69
2025.05.01 21:45:00,0.85001,0.85005,0.84989,0.84997,793.8
2025.05.01 22:00:00,0.84999,0.85014,0.84963,0.84966,825.09
2025.05.01 22:15:00,0.84965,0.84997,0.84958,0.84988,524.4
2025.05.01 22:30:00,0.8499,0.85003,0.8498,0.84987,579.6
2025.05.01 22:45:00,0.84987,0.85017,0.84977,0.85014,596.76
2025.05.01 23:00:00,0.85013,0.85035,0.85009,0.85018,631.74
2025.05.01 23:15:00,0.8502,0.85024,0.85012,0.8502,324.3
2025.05.01 23:30:00,0.85019,0.85033,0.85013,0.85033,276.21
2025.05.01 23:45:00,0.85034,0.8504,0.8502,0.85027,807.99
2025.05.02 00:00:00,0.85009,0.85021,0.84962,0.85,68.4
2025.05.02 00:15:00,0.84999,0.85023,0.84959,0.84989,198.5
2025.05.02 00:30:00,0.85015,0.85016,0.84987,0.84997,116.26
2025.05.02 00:45:00,0.84996,0.85011,0.84935,0.84997,490.14
2025.05.02 01:00:00,0.84997,0.85034,0.84997,0.85025,488.28
2025.05.02 01:15:00,0.85023,0.85034,0.85017,0.85032,428.1
2025.05.02 01:30:00,0.85033,0.85045,0.85028,0.85034,433.5
2025.05.02 01:45:00,0.85035,0.8504,0.85023,0.85024,276.75
2025.05.02 02:00:00,0.85023,0.85042,0.8502,0.85033,307.65
2025.05.02 02:15:00,0.85036,0.85044,0.85022,0.85041,252.9
2025.05.02 02:30:00,0.85042,0.85045,0.85022,0.85036,235.35
2025.05.02 02:45:00,0.85035,0.85038,0.85021,0.85022,321.18
2025.05.02 03:00:00,0.85024,0.85027,0.85012,0.85021,679.05
2025.05.02 03:15:00,0.85021,0.85021,0.84948,0.84952,773.1
2025.05.02 03:30:00,0.84952,0.84957,0.84918,0.84928,1167
2025.05.02 03:45:00,0.84929,0.84969,0.84922,0.84961,912.9
2025.05.02 04:00:00,0.8496,0.84973,0.84947,0.84969,1170.36
2025.05.02 04:15:00,0.84968,0.84968,0.84944,0.84956,1007.25
2025.05.02 04:30:00,0.84956,0.84983,0.84947,0.8498,1178.1
2025.05.02 04:45:00,0.84981,0.84994,0.84977,0.84992,1001.16
2025.05.02 05:00:00,0.84991,0.84999,0.84973,0.84983,698.01
2025.05.02 05:15:00,0.84983,0.84993,0.84969,0.8497,885.72
2025.05.02 05:30:00,0.84972,0.84977,0.8496,0.84971,757.26
2025.05.02 05:45:00,0.84972,0.84976,0.84961,0.84964,439.14
2025.05.02 06:00:00,0.84964,0.84991,0.84964,0.84981,592.2
2025.05.02 06:15:00,0.84983,0.85015,0.84978,0.85013,759.75
2025.05.02 06:30:00,0.85014,0.85026,0.84992,0.84996,980.73
2025.05.02 06:45:00,0.84998,0.85016,0.84985,0.84995,866.97
2025.05.02 07:00:00,0.84995,0.85,0.84974,0.8498,1028.52
2025.05.02 07:15:00,0.84982,0.84991,0.84951,0.84956,1115.22
2025.05.02 07:30:00,0.84956,0.84973,0.84942,0.84943,763.65
2025.05.02 07:45:00,0.84944,0.84951,0.84931,0.84943,615.9
2025.05.02 08:00:00,0.84945,0.84957,0.84927,0.8493,855.45
2025.05.02 08:15:00,0.84931,0.84953,0.84926,0.84938,623.58
2025.05.02 08:30:00,0.84936,0.84939,0.84917,0.84919,767.13
2025.05.02 08:45:00,0.84919,0.84951,0.849,0.84943,1159.41
2025.05.02 09:00:00,0.84944,0.85025,0.84939,0.85015,1486.65
2025.05.02 09:15:00,0.85014,0.85068,0.85008,0.85053,1374.75
2025.05.02 09:30:00,0.85053,0.85098,0.85046,0.85063,1206.33
2025.05.02 09:45:00,0.85064,0.85084,0.85043,0.85084,1369.02
2025.05.02 10:00:00,0.85084,0.8509,0.85042,0.85061,1548.3
2025.05.02 10:15:00,0.85063,0.85096,0.85062,0.85093,1215.03
2025.05.02 10:30:00,0.85092,0.85156,0.85064,0.85143,1266.36
2025.05.02 10:45:00,0.85145,0.85198,0.85133,0.85181,1380.45
2025.05.02 11:00:00,0.8518,0.85216,0.85169,0.8518,1483.02
2025.05.02 11:15:00,0.85176,0.85229,0.85161,0.85226,1349.22
2025.05.02 11:30:00,0.85225,0.8529,0.85212,0.85257,1595.88
2025.05.02 11:45:00,0.85257,0.85278,0.8524,0.85257,1494.36
